female,age,edu,income,region,july25,mps,people,officials,leg2019_voted,leg2019,pres2019_1_voted,pres2019_1,pres2019_2_voted,pres2019_2
0,42,8,7,Ben Arous,2,2,5,2,1,1,1,3,1,1
0,55,5,5,Sfax,98,2,2,2,1,4,1,3,1,1
0,46,4,5,Monastir,2,2,4,1,1,1,1,3,1,1
0,50,4,5,Nabeul,1,1,1,1,1,2,1,1,1,1
0,42,4,4,Sousse,1,5,5,1,98,NA,1,1,1,1
0,55,4,3,Tunis,1,1,5,1,2,NA,2,NA,2,NA
0,24,4,8,Gafsa,98,1,2,1,2,NA,1,99,1,1
0,70,4,3,Ben Arous,1,1,1,1,1,1,1,1,1,1
0,32,5,2,Jendouba,1,1,1,1,1,2,1,1,1,1
0,53,2,3,Nabeul,98,4,1,98,2,NA,2,NA,2,NA
0,48,2,2,Kairouan,1,1,1,1,1,6,1,1,2,NA
0,30,8,8,Nabeul,2,3,1,1,1,7,2,NA,2,NA
0,32,7,8,Ben Arous,98,1,4,1,1,98,1,1,1,1
0,52,1,NA,Kebili,2,1,1,1,1,96,1,96,1,1
0,39,2,2,Tunis,1,5,5,5,2,NA,2,NA,2,NA
0,49,1,3,Mahdia,1,5,5,2,2,NA,2,NA,2,NA
0,66,2,2,Sousse,1,5,1,1,2,NA,2,NA,2,NA
0,53,7,3,Nabeul,1,1,1,2,2,NA,2,NA,2,NA
0,39,2,3,Sousse,1,1,1,1,2,NA,2,NA,1,97
0,29,8,4,Le Kef,1,1,1,1,1,96,1,1,1,1
0,40,2,3,Sousse,98,4,1,4,2,NA,2,NA,2,NA
0,43,2,3,Medenine,2,4,1,1,2,NA,1,1,2,NA
0,23,4,4,Medenine,1,5,1,3,1,98,1,1,2,NA
0,22,4,8,Jendouba,2,1,3,2,1,6,1,1,1,1
0,47,4,8,Monastir,1,4,1,1,1,1,1,1,1,1
0,30,4,NA,Kairouan,1,5,2,1,98,NA,1,11,1,1
0,37,5,2,Sfax,99,2,5,1,2,NA,2,NA,2,NA
0,36,3,3,Bizerte,2,1,2,1,1,1,1,1,1,1
0,30,2,3,Tunis,1,1,5,1,2,NA,2,NA,2,NA
0,31,4,5,Sfax,1,2,5,5,1,7,1,1,1,1
0,68,4,2,Sousse,1,2,2,5,1,1,98,NA,98,NA
